"date","state","si"
2020-02-25,Новосибирская область,1.0666666666666667
2020-02-25,Республика Татарстан,1.1444444444444446
2020-02-25,Пермский край,1.2571428571428573
2020-02-25,Тамбовская область,1.15
2020-02-25,Еврейская автономная область,0.9
2020-02-25,Чувашская Республика,1.05
2020-02-25,Республика Алтай,0.3
2020-02-25,Мурманская область,1.7
2020-02-25,Ханты-Мансийский автономный округ - Югра,0.9666666666666667
2020-02-25,Тульская область,1.3333333333333333
2020-02-25,Саратовская область,1.2999999999999998
2020-02-25,Пензенская область,1.1666666666666667
2020-02-25,Кировская область,1.15
2020-02-25,Новгородская область,1
2020-02-26,Томская область,1.15
2020-02-26,Липецкая область,1.1
2020-02-26,Хабаровский край,1.2000000000000002
2020-02-26,Республика Саха (Якутия),1.05
2020-02-26,Республика Коми,1.3333333333333333
2020-02-26,Астраханская область,0.7
2020-02-26,Курганская область,0.95
2020-02-26,Смоленская область,1.1666666666666667
2020-02-26,Новосибирская область,1.0666666666666667
2020-02-26,Республика Татарстан,1.111111111111111
2020-02-26,Краснодарский край,0.8800000000000001
2020-02-26,Орловская область,0.9
2020-02-26,Тверская область,1.0499999999999998
2020-02-26,Республика Тыва,0.2
2020-02-26,Чувашская Республика,0.95
2020-02-26,Ханты-Мансийский автономный округ - Югра,0.9
2020-02-26,Амурская область,0.9666666666666667
2020-02-26,Кабардино-Балкарская Республика,0.95
2020-02-26,Республика Бурятия,1.1
2020-02-26,Новгородская область,1.05
2020-02-26,Саратовская область,1.1800000000000002
2020-02-26,Иркутская область,1.1666666666666667
2020-02-26,Республика Северная Осетия — Алания,0.8
2020-02-26,Свердловская область,1.2416666666666667
2020-02-26,Ульяновская область,1
2020-02-26,Приморский край,0.96
2020-02-26,Красноярский край,1.3125000000000002
2020-02-26,Калужская область,0.7
2020-02-26,Челябинская область,1.35
2020-02-26,Республика Адыгея,0.5
2020-02-26,Ивановская область,0.9333333333333332
2020-02-26,Курская область,1.2000000000000002
2020-02-26,Омская область,0.9
2020-02-26,Республика Башкортостан,1.4416666666666667
2020-02-26,Псковская область,0.9500000000000001
2020-02-26,Республика Марий Эл,0.95
2020-02-26,Алтайский край,1.2
2020-02-26,Волгоградская область,1.075
2020-02-26,Еврейская автономная область,1
2020-02-26,Магаданская область,0.6
2020-02-26,Республика Крым,1.55
2020-02-26,Москва,1.0818181818181818
2020-02-26,Калининградская область,0.7
2020-02-26,Рязанская область,0.7
2020-02-26,Карачаево-Черкесская Республика,0.6
2020-02-26,Вологодская область,0.85
2020-02-26,Самарская область,1.1833333333333333
2020-02-26,Санкт-Петербург и Ленинградская область,1.1538461538461537
2020-02-26,Кемеровская область (Кузбасс),1.2444444444444445
2020-02-26,Республика Карелия,1.1
2020-02-26,Тюменская область,0.9666666666666668
2020-02-26,Нижегородская область,0.8625000000000002
2020-02-26,Ставропольский край,0.8111111111111112
2020-02-26,Республика Хакасия,1.05
2020-02-26,Брянская область,1.15
2020-02-26,Владимирская область,1.0799999999999998
2020-02-26,Республика Мордовия,0.6
2020-02-26,Забайкальский край,1.4500000000000002
2020-02-26,Белгородская область,1.0999999999999999
2020-02-26,Республика Дагестан,1.3166666666666667
2020-02-26,Республика Алтай,0.3
2020-02-26,Оренбургская область,1.15
2020-02-26,Сахалинская область,0.4
2020-02-26,Тульская область,1.3666666666666665
2020-02-26,Мурманская область,1.7333333333333332
2020-02-26,Архангельская область,1.3333333333333333
2020-02-26,Пермский край,1.3142857142857145
2020-02-26,Кировская область,1.1
2020-02-26,Пензенская область,1.0666666666666667
2020-02-26,Камчатский край,0.8
2020-02-26,Ростовская область,1.2272727272727275
2020-02-26,Удмуртская Республика,1.05
2020-02-26,Республика Калмыкия,0.8
2020-02-26,Республика Ингушетия,0.3
2020-02-26,Чеченская Республика,1.325
2020-02-26,Воронежская область,1.175
2020-02-26,Ярославская область,1
2020-02-26,Ямало-Ненецкий автономный округ,0.8500000000000001
2020-02-26,Тамбовская область,1.0499999999999998
2020-02-26,Костромская область,0.9
2020-02-27,Астраханская область,0.8
2020-02-27,Краснодарский край,0.8533333333333334
2020-02-27,Орловская область,0.8
2020-02-27,Тверская область,1.1
2020-02-27,Калининградская область,0.8
2020-02-27,Курганская область,0.95
2020-02-27,Смоленская область,1.1666666666666667
2020-02-27,Кемеровская область (Кузбасс),1.2444444444444445
2020-02-27,Республика Коми,1.3666666666666665
2020-02-27,Томская область,1.2
2020-02-27,Хабаровский край,1
2020-02-27,Липецкая область,1.1
2020-02-27,Республика Татарстан,1.1444444444444444
2020-02-27,Новосибирская область,1.0666666666666667
2020-02-27,Иркутская область,1.1500000000000001
2020-02-27,Республика Бурятия,0.8
2020-02-27,Чувашская Республика,1
2020-02-27,Амурская область,0.9
2020-02-27,Республика Тыва,0.2
2020-02-27,Саратовская область,1.1600000000000001
2020-02-27,Новгородская область,1.05
2020-02-27,Республика Адыгея,0.5
2020-02-27,Свердловская область,1.225
2020-02-27,Ивановская область,0.9666666666666667
2020-02-27,Кабардино-Балкарская Республика,1
2020-02-27,Приморский край,0.9399999999999998
2020-02-27,Красноярский край,1.3124999999999998
2020-02-27,Калужская область,0.7
2020-02-27,Республика Северная Осетия — Алания,0.8
2020-02-27,Челябинская область,1.375
2020-02-27,Ульяновская область,1.05
2020-02-27,Ямало-Ненецкий автономный округ,0.8999999999999999
2020-02-27,Республика Крым,1.55
2020-02-27,Ханты-Мансийский автономный округ - Югра,0.8833333333333334
2020-02-27,Омская область,0.9
2020-02-27,Псковская область,1
2020-02-27,Алтайский край,1.25
2020-02-27,Магаданская область,0.6
2020-02-27,Волгоградская область,1.05
2020-02-27,Республика Марий Эл,0.95
2020-02-27,Курская область,1.2000000000000002
2020-02-27,Вологодская область,0.85
2020-02-27,Республика Саха (Якутия),1.05
2020-02-27,Республика Карелия,1.1
2020-02-27,Тюменская область,0.9666666666666668
2020-02-27,Самарская область,1.2333333333333334
2020-02-27,Нижегородская область,0.95
2020-02-27,Рязанская область,0.8
2020-02-27,Забайкальский край,1.5
2020-02-27,Ставропольский край,0.8000000000000002
2020-02-27,Брянская область,1.1
2020-02-27,Республика Дагестан,1.2833333333333334
2020-02-27,Белгородская область,1.0333333333333334
2020-02-27,Республика Мордовия,0.7
2020-02-27,Владимирская область,1.12
2020-02-27,Республика Хакасия,1.1
2020-02-27,Кировская область,1.1
2020-02-27,Пензенская область,1
